step 2520, training accuracy 0
step 2530, training accuracy 0
step 2540, training accuracy 0
step 2550, training accuracy 0
step 2560, training accuracy 0
step 2570, training accuracy 0
step 2580, training accuracy 0
step 2590, training accuracy 0
step 2600, training accuracy 0
step 2610, training accuracy 0
step 2620, training accuracy 0.01
step 2630, training accuracy 0
step 2640, training accuracy 0
step 2650, training accuracy 0
step 2660, training accuracy 0
step 2670, training accuracy 0
step 2680, training accuracy 0
step 2690, training accuracy 0
step 2700, training accuracy 0
step 2710, training accuracy 0
step 2720, training accuracy 0
step 2730, training accuracy 0
step 2740, training accuracy 0
step 2750, training accuracy 0
step 2760, training accuracy 0
step 2770, training accuracy 0
step 2780, training accuracy 0
step 2790, training accuracy 0
step 2800, training accuracy 0
step 2810, training accuracy 0
step 2820, training accuracy 0
step 2830, training accuracy 0.01
step 2840, training accuracy 0
step 2850, training accuracy 0
step 2860, training accuracy 0
step 2870, training accuracy 0
step 2880, training accuracy 0.01
step 2890, training accuracy 0
step 2900, training accuracy 0
step 2910, training accuracy 0
step 2920, training accuracy 0
step 2930, training accuracy 0
step 2940, training accuracy 0
step 2950, training accuracy 0
step 2960, training accuracy 0
step 2970, training accuracy 0
step 2980, training accuracy 0
step 2990, training accuracy 0
step 3000, training accuracy 0
step 3010, training accuracy 0
step 3020, training accuracy 0
step 3030, training accuracy 0
step 3040, training accuracy 0
step 3050, training accuracy 0
step 3060, training accuracy 0
step 3070, training accuracy 0
step 3080, training accuracy 0
step 3090, training accuracy 0
step 3100, training accuracy 0
step 3110, training accuracy 0
step 3120, training accuracy 0
step 3130, training accuracy 0
step 3140, training accuracy 0
step 3150, training accuracy 0
step 3160, training accuracy 0
step 3170, training accuracy 0
step 3180, training accuracy 0
step 3190, training accuracy 0
step 3200, training accuracy 0
step 3210, training accuracy 0
step 3220, training accuracy 0
step 3230, training accuracy 0
step 3240, training accuracy 0
step 3250, training accuracy 0
step 3260, training accuracy 0
step 3270, training accuracy 0
step 3280, training accuracy 0
step 3290, training accuracy 0
step 3300, training accuracy 0
step 3310, training accuracy 0.01
step 3320, training accuracy 0
step 3330, training accuracy 0
step 3340, training accuracy 0.01
step 3350, training accuracy 0
